,Month,Breakdown,Country,Number of Tourists
15,01/01/2010,Europe,Germany,5890.0
16,01/01/2010,Europe,Italy,12276.0
17,01/01/2010,Europe,Russia,5873.0
18,01/01/2010,Europe,the United Kingdom,8405.0
19,01/01/2010,Asia,China,6069.0
20,01/01/2010,Asia,India,1742.0
25,01/01/2010,Europe,France,6899.0
43,01/02/2010,Europe,Germany,6602.0
44,01/02/2010,Europe,Italy,12003.0
45,01/02/2010,Europe,Russia,3285.0
46,01/02/2010,Europe,the United Kingdom,10422.0
47,01/02/2010,Asia,China,13345.0
48,01/02/2010,Asia,India,1594.0
53,01/02/2010,Europe,France,8464.0
71,01/03/2010,Europe,Germany,8554.0
72,01/03/2010,Europe,Italy,13153.0
73,01/03/2010,Europe,Russia,4301.0
74,01/03/2010,Europe,the United Kingdom,11394.0
75,01/03/2010,Asia,China,6144.0
76,01/03/2010,Asia,India,1385.0
81,01/03/2010,Europe,France,7190.0
99,01/04/2010,Europe,Germany,5317.0
100,01/04/2010,Europe,Italy,7577.0
101,01/04/2010,Europe,Russia,3899.0
102,01/04/2010,Europe,the United Kingdom,9529.0
103,01/04/2010,Asia,China,7060.0
104,01/04/2010,Asia,India,1802.0
109,01/04/2010,Europe,France,5459.0
127,01/05/2010,Europe,Germany,7634.0
128,01/05/2010,Europe,Italy,3213.0
129,01/05/2010,Europe,Russia,3704.0
130,01/05/2010,Europe,the United Kingdom,9460.0
131,01/05/2010,Asia,China,8964.0
132,01/05/2010,Asia,India,2400.0
137,01/05/2010,Europe,France,2920.0
155,01/06/2010,Europe,Germany,3748.0
156,01/06/2010,Europe,Italy,3495.0
157,01/06/2010,Europe,Russia,2569.0
158,01/06/2010,Europe,the United Kingdom,6728.0
159,01/06/2010,Asia,China,8615.0
160,01/06/2010,Asia,India,1999.0
165,01/06/2010,Europe,France,1155.0
183,01/07/2010,Europe,Germany,4402.0
184,01/07/2010,Europe,Italy,3882.0
185,01/07/2010,Europe,Russia,3098.0
186,01/07/2010,Europe,the United Kingdom,9053.0
187,01/07/2010,Asia,China,12449.0
188,01/07/2010,Asia,India,1871.0
193,01/07/2010,Europe,France,1464.0
211,01/08/2010,Europe,Germany,4943.0
212,01/08/2010,Europe,Italy,8351.0
213,01/08/2010,Europe,Russia,4176.0
214,01/08/2010,Europe,the United Kingdom,10259.0
215,01/08/2010,Asia,China,14998.0
216,01/08/2010,Asia,India,1419.0
221,01/08/2010,Europe,France,2257.0
239,01/09/2010,Europe,Germany,6412.0
240,01/09/2010,Europe,Italy,4167.0
241,01/09/2010,Europe,Russia,3488.0
242,01/09/2010,Europe,the United Kingdom,9917.0
243,01/09/2010,Asia,China,13028.0
244,01/09/2010,Asia,India,1838.0
249,01/09/2010,Europe,France,2061.0
267,01/10/2010,Europe,Germany,8937.0
268,01/10/2010,Europe,Italy,5153.0
269,01/10/2010,Europe,Russia,4482.0
270,01/10/2010,Europe,the United Kingdom,10419.0
271,01/10/2010,Asia,China,13476.0
272,01/10/2010,Asia,India,2387.0
277,01/10/2010,Europe,France,4159.0
295,01/11/2010,Europe,Germany,8444.0
296,01/11/2010,Europe,Italy,6506.0
297,01/11/2010,Europe,Russia,4750.0
298,01/11/2010,Europe,the United Kingdom,9614.0
299,01/11/2010,Asia,China,8313.0
300,01/11/2010,Asia,India,3110.0
305,01/11/2010,Europe,France,5930.0
323,01/12/2010,Europe,Germany,6225.0
324,01/12/2010,Europe,Italy,9845.0
325,01/12/2010,Europe,Russia,5486.0
326,01/12/2010,Europe,the United Kingdom,8958.0
327,01/12/2010,Asia,China,6500.0
328,01/12/2010,Asia,India,4209.0
333,01/12/2010,Europe,France,6831.0
351,01/01/2011,Europe,Germany,6109.0
352,01/01/2011,Europe,Italy,12828.0
353,01/01/2011,Europe,Russia,6256.0
354,01/01/2011,Europe,the United Kingdom,8435.0
355,01/01/2011,Asia,China,12367.0
356,01/01/2011,Asia,India,2786.0
361,01/01/2011,Europe,France,7606.0
379,01/02/2011,Europe,Germany,6874.0
380,01/02/2011,Europe,Italy,11499.0
381,01/02/2011,Europe,Russia,4347.0
382,01/02/2011,Europe,the United Kingdom,9661.0
383,01/02/2011,Asia,China,18759.0
384,01/02/2011,Asia,India,2078.0
389,01/02/2011,Europe,France,9286.0
407,01/03/2011,Europe,Germany,8906.0
408,01/03/2011,Europe,Italy,12143.0
409,01/03/2011,Europe,Russia,6043.0
410,01/03/2011,Europe,the United Kingdom,9637.0
411,01/03/2011,Asia,China,8968.0
412,01/03/2011,Asia,India,2030.0
417,01/03/2011,Europe,France,8646.0
435,01/04/2011,Europe,Germany,9389.0
436,01/04/2011,Europe,Italy,8398.0
437,01/04/2011,Europe,Russia,5205.0
438,01/04/2011,Europe,the United Kingdom,11167.0
439,01/04/2011,Asia,China,10165.0
440,01/04/2011,Asia,India,2109.0
445,01/04/2011,Europe,France,6557.0
463,01/05/2011,Europe,Germany,7467.0
464,01/05/2011,Europe,Italy,3077.0
465,01/05/2011,Europe,Russia,4793.0
466,01/05/2011,Europe,the United Kingdom,7988.0
467,01/05/2011,Asia,China,14889.0
468,01/05/2011,Asia,India,2813.0
473,01/05/2011,Europe,France,2842.0
491,01/06/2011,Europe,Germany,5276.0
492,01/06/2011,Europe,Italy,2347.0
493,01/06/2011,Europe,Russia,3812.0
494,01/06/2011,Europe,the United Kingdom,6338.0
495,01/06/2011,Asia,China,15410.0
496,01/06/2011,Asia,India,2659.0
501,01/06/2011,Europe,France,1758.0
519,01/07/2011,Europe,Germany,5034.0
520,01/07/2011,Europe,Italy,3208.0
521,01/07/2011,Europe,Russia,4565.0
522,01/07/2011,Europe,the United Kingdom,7795.0
523,01/07/2011,Asia,China,23176.0
524,01/07/2011,Asia,India,2359.0
529,01/07/2011,Europe,France,1550.0
547,01/08/2011,Europe,Germany,5918.0
548,01/08/2011,Europe,Italy,7267.0
549,01/08/2011,Europe,Russia,5214.0
550,01/08/2011,Europe,the United Kingdom,8855.0
551,01/08/2011,Asia,China,22827.0
552,01/08/2011,Asia,India,1963.0
557,01/08/2011,Europe,France,2588.0
575,01/09/2011,Europe,Germany,6956.0
576,01/09/2011,Europe,Italy,3479.0
577,01/09/2011,Europe,Russia,4594.0
578,01/09/2011,Europe,the United Kingdom,8896.0
579,01/09/2011,Asia,China,20107.0
580,01/09/2011,Asia,India,1820.0
585,01/09/2011,Europe,France,2169.0
603,01/10/2011,Europe,Germany,10986.0
604,01/10/2011,Europe,Italy,4610.0
605,01/10/2011,Europe,Russia,5887.0
606,01/10/2011,Europe,the United Kingdom,9537.0
607,01/10/2011,Asia,China,22595.0
608,01/10/2011,Asia,India,3007.0
613,01/10/2011,Europe,France,4355.0
631,01/11/2011,Europe,Germany,10058.0
632,01/11/2011,Europe,Italy,5543.0
633,01/11/2011,Europe,Russia,6008.0
634,01/11/2011,Europe,the United Kingdom,8310.0
635,01/11/2011,Asia,China,16897.0
636,01/11/2011,Asia,India,3232.0
641,01/11/2011,Europe,France,5258.0
659,01/12/2011,Europe,Germany,7544.0
660,01/12/2011,Europe,Italy,8929.0
661,01/12/2011,Europe,Russia,7212.0
662,01/12/2011,Europe,the United Kingdom,7889.0
663,01/12/2011,Asia,China,12495.0
664,01/12/2011,Asia,India,4122.0
669,01/12/2011,Europe,France,7079.0
687,01/01/2012,Europe,Germany,7532.0
688,01/01/2012,Europe,Italy,10451.0
689,01/01/2012,Europe,Russia,7418.0
690,01/01/2012,Europe,the United Kingdom,7001.0
691,01/01/2012,Asia,China,28008.0
692,01/01/2012,Asia,India,2303.0
697,01/01/2012,Europe,France,7578.0
715,01/02/2012,Europe,Germany,8591.0
716,01/02/2012,Europe,Italy,8910.0
717,01/02/2012,Europe,Russia,5370.0
718,01/02/2012,Europe,the United Kingdom,9006.0
719,01/02/2012,Asia,China,12237.0
720,01/02/2012,Asia,India,2219.0
725,01/02/2012,Europe,France,9742.0
743,01/03/2012,Europe,Germany,10232.0
744,01/03/2012,Europe,Italy,7578.0
745,01/03/2012,Europe,Russia,7131.0
746,01/03/2012,Europe,the United Kingdom,8388.0
747,01/03/2012,Asia,China,6417.0
748,01/03/2012,Asia,India,1657.0
753,01/03/2012,Europe,France,7875.0
771,01/04/2012,Europe,Germany,10145.0
772,01/04/2012,Europe,Italy,6130.0
773,01/04/2012,Europe,Russia,6462.0
774,01/04/2012,Europe,the United Kingdom,8934.0
775,01/04/2012,Asia,China,10523.0
776,01/04/2012,Asia,India,1877.0
781,01/04/2012,Europe,France,6587.0
799,01/05/2012,Europe,Germany,9736.0
800,01/05/2012,Europe,Italy,1874.0
801,01/05/2012,Europe,Russia,3960.0
802,01/05/2012,Europe,the United Kingdom,6670.0
803,01/05/2012,Asia,China,16154.0
804,01/05/2012,Asia,India,2766.0
809,01/05/2012,Europe,France,2705.0
827,01/06/2012,Europe,Germany,4782.0
828,01/06/2012,Europe,Italy,1578.0
829,01/06/2012,Europe,Russia,3345.0
830,01/06/2012,Europe,the United Kingdom,6146.0
831,01/06/2012,Asia,China,17809.0
832,01/06/2012,Asia,India,2495.0
837,01/06/2012,Europe,France,1251.0
855,01/07/2012,Europe,Germany,6199.0
856,01/07/2012,Europe,Italy,2853.0
857,01/07/2012,Europe,Russia,3918.0
858,01/07/2012,Europe,the United Kingdom,7286.0
859,01/07/2012,Asia,China,27653.0
860,01/07/2012,Asia,India,2039.0
865,01/07/2012,Europe,France,1632.0
883,01/08/2012,Europe,Germany,6485.0
884,01/08/2012,Europe,Italy,5225.0
885,01/08/2012,Europe,Russia,4562.0
886,01/08/2012,Europe,the United Kingdom,7450.0
887,01/08/2012,Asia,China,25138.0
888,01/08/2012,Asia,India,2264.0
893,01/08/2012,Europe,France,2785.0
911,01/09/2012,Europe,Germany,8248.0
912,01/09/2012,Europe,Italy,2749.0
913,01/09/2012,Europe,Russia,4274.0
914,01/09/2012,Europe,the United Kingdom,7106.0
915,01/09/2012,Asia,China,25178.0
916,01/09/2012,Asia,India,2103.0
921,01/09/2012,Europe,France,2042.0
939,01/10/2012,Europe,Germany,10597.0
940,01/10/2012,Europe,Italy,3679.0
941,01/10/2012,Europe,Russia,5622.0
942,01/10/2012,Europe,the United Kingdom,8666.0
943,01/10/2012,Asia,China,26301.0
944,01/10/2012,Asia,India,2546.0
949,01/10/2012,Europe,France,3815.0
967,01/11/2012,Europe,Germany,8729.0
968,01/11/2012,Europe,Italy,3551.0
969,01/11/2012,Europe,Russia,6860.0
970,01/11/2012,Europe,the United Kingdom,7164.0
971,01/11/2012,Asia,China,18450.0
972,01/11/2012,Asia,India,3930.0
977,01/11/2012,Europe,France,4942.0
995,01/12/2012,Europe,Germany,7075.0
996,01/12/2012,Europe,Italy,8204.0
997,01/12/2012,Europe,Russia,7456.0
998,01/12/2012,Europe,the United Kingdom,7959.0
999,01/12/2012,Asia,China,15683.0
1000,01/12/2012,Asia,India,5522.0
1005,01/12/2012,Europe,France,5821.0
1023,01/01/2013,Europe,Germany,6926.0
1024,01/01/2013,Europe,Italy,7050.0
1025,01/01/2013,Europe,Russia,9061.0
1026,01/01/2013,Europe,the United Kingdom,6367.0
1027,01/01/2013,Asia,China,19208.0
1028,01/01/2013,Asia,India,3483.0
1033,01/01/2013,Europe,France,6688.0
1051,01/02/2013,Europe,Germany,7755.0
1052,01/02/2013,Europe,Italy,7832.0
1053,01/02/2013,Europe,Russia,6737.0
1054,01/02/2013,Europe,the United Kingdom,7745.0
1055,01/02/2013,Asia,China,33592.0
1056,01/02/2013,Asia,India,3493.0
1061,01/02/2013,Europe,France,7666.0
1079,01/03/2013,Europe,Germany,11001.0
1080,01/03/2013,Europe,Italy,8365.0
1081,01/03/2013,Europe,Russia,8457.0
1082,01/03/2013,Europe,the United Kingdom,8438.0
1083,01/03/2013,Asia,China,17770.0
1084,01/03/2013,Asia,India,2769.0
1089,01/03/2013,Europe,France,7990.0
1107,01/04/2013,Europe,Germany,8303.0
1108,01/04/2013,Europe,Italy,5542.0
1109,01/04/2013,Europe,Russia,6241.0
1110,01/04/2013,Europe,the United Kingdom,8654.0
1111,01/04/2013,Asia,China,20329.0
1112,01/04/2013,Asia,India,2521.0
1117,01/04/2013,Europe,France,6021.0
1135,01/05/2013,Europe,Germany,8812.0
1136,01/05/2013,Europe,Italy,1813.0
1137,01/05/2013,Europe,Russia,5230.0
1138,01/05/2013,Europe,the United Kingdom,6886.0
1139,01/05/2013,Asia,China,23613.0
1140,01/05/2013,Asia,India,3951.0
1145,01/05/2013,Europe,France,3540.0
1163,01/06/2013,Europe,Germany,4421.0
1164,01/06/2013,Europe,Italy,1579.0
1165,01/06/2013,Europe,Russia,4063.0
1166,01/06/2013,Europe,the United Kingdom,5100.0
1167,01/06/2013,Asia,China,28007.0
1168,01/06/2013,Asia,India,3214.0
1173,01/06/2013,Europe,France,1081.0
1191,01/07/2013,Europe,Germany,5418.0
1192,01/07/2013,Europe,Italy,2683.0
1193,01/07/2013,Europe,Russia,4612.0
1194,01/07/2013,Europe,the United Kingdom,6945.0
1195,01/07/2013,Asia,China,36551.0
1196,01/07/2013,Asia,India,2335.0
1201,01/07/2013,Europe,France,1501.0
1219,01/08/2013,Europe,Germany,5930.0
1220,01/08/2013,Europe,Italy,5424.0
1221,01/08/2013,Europe,Russia,5188.0
1222,01/08/2013,Europe,the United Kingdom,7409.0
1223,01/08/2013,Asia,China,35814.0
1224,01/08/2013,Asia,India,2576.0
1229,01/08/2013,Europe,France,2692.0
1247,01/09/2013,Europe,Germany,8148.0
1248,01/09/2013,Europe,Italy,2722.0
1249,01/09/2013,Europe,Russia,4833.0
1250,01/09/2013,Europe,the United Kingdom,6688.0
1251,01/09/2013,Asia,China,35026.0
1252,01/09/2013,Asia,India,2179.0
1257,01/09/2013,Europe,France,2036.0
1275,01/10/2013,Europe,Germany,10360.0
1276,01/10/2013,Europe,Italy,3128.0
1277,01/10/2013,Europe,Russia,6277.0
1278,01/10/2013,Europe,the United Kingdom,7714.0
1279,01/10/2013,Asia,China,35041.0
1280,01/10/2013,Asia,India,2703.0
1285,01/10/2013,Europe,France,4388.0
1303,01/11/2013,Europe,Germany,8869.0
1304,01/11/2013,Europe,Italy,3686.0
1305,01/11/2013,Europe,Russia,7675.0
1306,01/11/2013,Europe,the United Kingdom,6694.0
1307,01/11/2013,Asia,China,26008.0
1308,01/11/2013,Asia,India,3588.0
1313,01/11/2013,Europe,France,4632.0
1331,01/12/2013,Europe,Germany,7655.0
1332,01/12/2013,Europe,Italy,8030.0
1333,01/12/2013,Europe,Russia,8105.0
1334,01/12/2013,Europe,the United Kingdom,7229.0
1335,01/12/2013,Asia,China,20760.0
1336,01/12/2013,Asia,India,5202.0
1341,01/12/2013,Europe,France,6093.0
1359,01/01/2014,Europe,Germany,6527.0
1360,01/01/2014,Europe,Italy,6879.0
1361,01/01/2014,Europe,Russia,9289.0
1362,01/01/2014,Europe,the United Kingdom,6710.0
1363,01/01/2014,Asia,China,30612.0
1364,01/01/2014,Asia,India,3426.0
1369,01/01/2014,Europe,France,6395.0
1387,01/02/2014,Europe,Germany,8050.0
1388,01/02/2014,Europe,Italy,7455.0
1389,01/02/2014,Europe,Russia,6182.0
1390,01/02/2014,Europe,the United Kingdom,7913.0
1391,01/02/2014,Asia,China,33213.0
1392,01/02/2014,Asia,India,3596.0
1397,01/02/2014,Europe,France,7943.0
1415,01/03/2014,Europe,Germany,9973.0
1416,01/03/2014,Europe,Italy,7953.0
1417,01/03/2014,Europe,Russia,7121.0
1418,01/03/2014,Europe,the United Kingdom,8674.0
1419,01/03/2014,Asia,China,23705.0
1420,01/03/2014,Asia,India,3080.0
1425,01/03/2014,Europe,France,7602.0
1443,01/04/2014,Europe,Germany,10273.0
1444,01/04/2014,Europe,Italy,6994.0
1445,01/04/2014,Europe,Russia,5568.0
1446,01/04/2014,Europe,the United Kingdom,9462.0
1447,01/04/2014,Asia,China,24034.0
1448,01/04/2014,Asia,India,3622.0
1453,01/04/2014,Europe,France,5537.0
1471,01/05/2014,Europe,Germany,8365.0
1472,01/05/2014,Europe,Italy,1847.0
1473,01/05/2014,Europe,Russia,4878.0
1474,01/05/2014,Europe,the United Kingdom,7081.0
1475,01/05/2014,Asia,China,29685.0
1476,01/05/2014,Asia,India,4612.0
1481,01/05/2014,Europe,France,3290.0
1499,01/06/2014,Europe,Germany,5416.0
1500,01/06/2014,Europe,Italy,1793.0
1501,01/06/2014,Europe,Russia,4312.0
1502,01/06/2014,Europe,the United Kingdom,5415.0
1503,01/06/2014,Asia,China,30000.0
1504,01/06/2014,Asia,India,3847.0
1509,01/06/2014,Europe,France,1203.0
1527,01/07/2014,Europe,Germany,5371.0
1528,01/07/2014,Europe,Italy,2742.0
1529,01/07/2014,Europe,Russia,4624.0
1530,01/07/2014,Europe,the United Kingdom,6567.0
1531,01/07/2014,Asia,China,43269.0
1532,01/07/2014,Asia,India,3222.0
1537,01/07/2014,Europe,France,1337.0
1555,01/08/2014,Europe,Germany,7293.0
1556,01/08/2014,Europe,Italy,4717.0
1557,01/08/2014,Europe,Russia,4896.0
1558,01/08/2014,Europe,the United Kingdom,7742.0
1559,01/08/2014,Asia,China,37895.0
1560,01/08/2014,Asia,India,3119.0
1565,01/08/2014,Europe,France,2437.0
1583,01/09/2014,Europe,Germany,8163.0
1584,01/09/2014,Europe,Italy,2819.0
1585,01/09/2014,Europe,Russia,4047.0
1586,01/09/2014,Europe,the United Kingdom,7038.0
1587,01/09/2014,Asia,China,34425.0
1588,01/09/2014,Asia,India,3258.0
1593,01/09/2014,Europe,France,1955.0
1611,01/10/2014,Europe,Germany,11490.0
1612,01/10/2014,Europe,Italy,2694.0
1613,01/10/2014,Europe,Russia,5632.0
1614,01/10/2014,Europe,the United Kingdom,8017.0
1615,01/10/2014,Asia,China,33828.0
1616,01/10/2014,Asia,India,4646.0
1621,01/10/2014,Europe,France,4001.0
1639,01/11/2014,Europe,Germany,9483.0
1640,01/11/2014,Europe,Italy,3583.0
1641,01/11/2014,Europe,Russia,5273.0
1642,01/11/2014,Europe,the United Kingdom,6442.0
1643,01/11/2014,Asia,China,24729.0
1644,01/11/2014,Asia,India,3117.0
1649,01/11/2014,Europe,France,3516.0
1667,01/12/2014,Europe,Germany,7924.0
1668,01/12/2014,Europe,Italy,8386.0
1669,01/12/2014,Europe,Russia,4486.0
1670,01/12/2014,Europe,the United Kingdom,7643.0
1671,01/12/2014,Asia,China,18231.0
1672,01/12/2014,Asia,India,6042.0
1677,01/12/2014,Europe,France,5440.0
1695,01/01/2015,Europe,Germany,7093.0
1696,01/01/2015,Europe,Italy,8039.0
1697,01/01/2015,Europe,Russia,5790.0
1698,01/01/2015,Europe,the United Kingdom,7150.0
1699,01/01/2015,Asia,China,20469.0
1700,01/01/2015,Asia,India,3922.0
1705,01/01/2015,Europe,France,5694.0
1723,01/02/2015,Europe,Germany,8879.0
1724,01/02/2015,Europe,Italy,8224.0
1725,01/02/2015,Europe,Russia,2882.0
1726,01/02/2015,Europe,the United Kingdom,8752.0
1727,01/02/2015,Asia,China,43349.0
1728,01/02/2015,Asia,India,4235.0
1733,01/02/2015,Europe,France,6690.0
1751,01/03/2015,Europe,Germany,12203.0
1752,01/03/2015,Europe,Italy,9725.0
1753,01/03/2015,Europe,Russia,4048.0
1754,01/03/2015,Europe,the United Kingdom,9256.0
1755,01/03/2015,Asia,China,25069.0
1756,01/03/2015,Asia,India,3654.0
1761,01/03/2015,Europe,France,5272.0
1779,01/04/2015,Europe,Germany,8388.0
1780,01/04/2015,Europe,Italy,5686.0
1781,01/04/2015,Europe,Russia,3855.0
1782,01/04/2015,Europe,the United Kingdom,8793.0
1783,01/04/2015,Asia,China,26398.0
1784,01/04/2015,Asia,India,3750.0
1789,01/04/2015,Europe,France,4973.0
1807,01/05/2015,Europe,Germany,10371.0
1808,01/05/2015,Europe,Italy,2163.0
1809,01/05/2015,Europe,Russia,3053.0
1810,01/05/2015,Europe,the United Kingdom,6867.0
1811,01/05/2015,Asia,China,30864.0
1812,01/05/2015,Asia,India,5387.0
1817,01/05/2015,Europe,France,2815.0
1835,01/06/2015,Europe,Germany,4927.0
1836,01/06/2015,Europe,Italy,2017.0
1837,01/06/2015,Europe,Russia,2500.0
1838,01/06/2015,Europe,the United Kingdom,5923.0
1839,01/06/2015,Asia,China,31965.0
1840,01/06/2015,Asia,India,4390.0
1845,01/06/2015,Europe,France,749.0
1863,01/07/2015,Europe,Germany,5859.0
1864,01/07/2015,Europe,Italy,2538.0
1865,01/07/2015,Europe,Russia,3180.0
1866,01/07/2015,Europe,the United Kingdom,7174.0
1867,01/07/2015,Asia,China,41527.0
1868,01/07/2015,Asia,India,3376.0
1873,01/07/2015,Europe,France,1081.0
1891,01/08/2015,Europe,Germany,7698.0
1892,01/08/2015,Europe,Italy,5603.0
1893,01/08/2015,Europe,Russia,3347.0
1894,01/08/2015,Europe,the United Kingdom,7805.0
1895,01/08/2015,Asia,China,40850.0
1896,01/08/2015,Asia,India,3467.0
1901,01/08/2015,Europe,France,2162.0
1919,01/09/2015,Europe,Germany,8140.0
1920,01/09/2015,Europe,Italy,2828.0
1921,01/09/2015,Europe,Russia,2309.0
1922,01/09/2015,Europe,the United Kingdom,6799.0
1923,01/09/2015,Asia,China,32198.0
1924,01/09/2015,Asia,India,3323.0
1929,01/09/2015,Europe,France,1664.0
1947,01/10/2015,Europe,Germany,12252.0
1948,01/10/2015,Europe,Italy,3084.0
1949,01/10/2015,Europe,Russia,3860.0
1950,01/10/2015,Europe,the United Kingdom,7724.0
1951,01/10/2015,Asia,China,30714.0
1952,01/10/2015,Asia,India,4344.0
1957,01/10/2015,Europe,France,3077.0
1975,01/11/2015,Europe,Germany,9682.0
1976,01/11/2015,Europe,Italy,4429.0
1977,01/11/2015,Europe,Russia,3702.0
1978,01/11/2015,Europe,the United Kingdom,7001.0
1979,01/11/2015,Asia,China,19856.0
1980,01/11/2015,Asia,India,4857.0
1985,01/11/2015,Europe,France,2846.0
2003,01/12/2015,Europe,Germany,9640.0
2004,01/12/2015,Europe,Italy,11280.0
2005,01/12/2015,Europe,Russia,5797.0
2006,01/12/2015,Europe,the United Kingdom,9531.0
2007,01/12/2015,Asia,China,16255.0
2008,01/12/2015,Asia,India,7663.0
2013,01/12/2015,Europe,France,5001.0
2031,01/01/2016,Europe,Germany,7837.0
2032,01/01/2016,Europe,Italy,8828.0
2033,01/01/2016,Europe,Russia,5272.0
2034,01/01/2016,Europe,the United Kingdom,7728.0
2035,01/01/2016,Asia,China,23241.0
2036,01/01/2016,Asia,India,5182.0
2041,01/01/2016,Europe,France,5127.0
2059,01/02/2016,Europe,Germany,9247.0
2060,01/02/2016,Europe,Italy,9253.0
2061,01/02/2016,Europe,Russia,3274.0
2062,01/02/2016,Europe,the United Kingdom,10603.0
2063,01/02/2016,Asia,China,34330.0
2064,01/02/2016,Asia,India,4650.0
2069,01/02/2016,Europe,France,6500.0
2087,01/03/2016,Europe,Germany,13268.0
2088,01/03/2016,Europe,Italy,9086.0
2089,01/03/2016,Europe,Russia,4461.0
2090,01/03/2016,Europe,the United Kingdom,11095.0
2091,01/03/2016,Asia,China,21741.0
2092,01/03/2016,Asia,India,4339.0
2097,01/03/2016,Europe,France,4798.0
2115,01/04/2016,Europe,Germany,8810.0
2116,01/04/2016,Europe,Italy,5490.0
2117,01/04/2016,Europe,Russia,3363.0
2118,01/04/2016,Europe,the United Kingdom,8964.0
2119,01/04/2016,Asia,China,24794.0
2120,01/04/2016,Asia,India,4619.0
2125,01/04/2016,Europe,France,4753.0
2143,01/05/2016,Europe,Germany,10141.0
2144,01/05/2016,Europe,Italy,2746.0
2145,01/05/2016,Europe,Russia,3077.0
2146,01/05/2016,Europe,the United Kingdom,7253.0
2147,01/05/2016,Asia,China,25005.0
2148,01/05/2016,Asia,India,6651.0
2153,01/05/2016,Europe,France,2286.0
2171,01/06/2016,Europe,Germany,4617.0
2172,01/06/2016,Europe,Italy,2583.0
2173,01/06/2016,Europe,Russia,2939.0
2174,01/06/2016,Europe,the United Kingdom,5893.0
2175,01/06/2016,Asia,China,28653.0
2176,01/06/2016,Asia,India,4660.0
2181,01/06/2016,Europe,France,778.0
2199,01/07/2016,Europe,Germany,6008.0
2200,01/07/2016,Europe,Italy,3257.0
2201,01/07/2016,Europe,Russia,3415.0
2202,01/07/2016,Europe,the United Kingdom,7898.0
2203,01/07/2016,Asia,China,36456.0
2204,01/07/2016,Asia,India,4783.0
2209,01/07/2016,Europe,France,1200.0
2227,01/08/2016,Europe,Germany,6869.0
2228,01/08/2016,Europe,Italy,6507.0
2229,01/08/2016,Europe,Russia,3034.0
2230,01/08/2016,Europe,the United Kingdom,8852.0
2231,01/08/2016,Asia,China,36217.0
2232,01/08/2016,Asia,India,4175.0
2237,01/08/2016,Europe,France,2322.0
2255,01/09/2016,Europe,Germany,7826.0
2256,01/09/2016,Europe,Italy,3172.0
2257,01/09/2016,Europe,Russia,2990.0
2258,01/09/2016,Europe,the United Kingdom,7797.0
2259,01/09/2016,Asia,China,29242.0
2260,01/09/2016,Asia,India,5009.0
2265,01/09/2016,Europe,France,1765.0
2283,01/10/2016,Europe,Germany,13061.0
2284,01/10/2016,Europe,Italy,4122.0
2285,01/10/2016,Europe,Russia,4387.0
2286,01/10/2016,Europe,the United Kingdom,9111.0
2287,01/10/2016,Asia,China,29444.0
2288,01/10/2016,Asia,India,6301.0
2293,01/10/2016,Europe,France,3565.0
2311,01/11/2016,Europe,Germany,10759.0
2312,01/11/2016,Europe,Italy,4987.0
2313,01/11/2016,Europe,Russia,4750.0
2314,01/11/2016,Europe,the United Kingdom,8073.0
2315,01/11/2016,Asia,China,18954.0
2316,01/11/2016,Asia,India,6895.0
2321,01/11/2016,Europe,France,2678.0
2339,01/12/2016,Europe,Germany,7938.0
2340,01/12/2016,Europe,Italy,11171.0
2341,01/12/2016,Europe,Russia,5560.0
2342,01/12/2016,Europe,the United Kingdom,8576.0
2343,01/12/2016,Asia,China,16249.0
2344,01/12/2016,Asia,India,9691.0
2349,01/12/2016,Europe,France,4715.0
2367,01/01/2017,Europe,Germany,7803.0
2368,01/01/2017,Europe,Italy,12079.0
2369,01/01/2017,Europe,Russia,6874.0
2370,01/01/2017,Europe,the United Kingdom,8630.0
2371,01/01/2017,Asia,China,30669.0
2372,01/01/2017,Asia,India,6043.0
2377,01/01/2017,Europe,France,4868.0
2395,01/02/2017,Europe,Germany,8874.0
2396,01/02/2017,Europe,Italy,11215.0
2397,01/02/2017,Europe,Russia,5113.0
2398,01/02/2017,Europe,the United Kingdom,10395.0
2399,01/02/2017,Asia,China,24263.0
2400,01/02/2017,Asia,India,6105.0
2405,01/02/2017,Europe,France,6785.0
2423,01/03/2017,Europe,Germany,10216.0
2424,01/03/2017,Europe,Italy,9900.0
2425,01/03/2017,Europe,Russia,6413.0
2426,01/03/2017,Europe,the United Kingdom,10063.0
2427,01/03/2017,Asia,China,18203.0
2428,01/03/2017,Asia,India,5008.0
2433,01/03/2017,Europe,France,5192.0
2451,01/04/2017,Europe,Germany,11172.0
2452,01/04/2017,Europe,Italy,8601.0
2453,01/04/2017,Europe,Russia,5400.0
2454,01/04/2017,Europe,the United Kingdom,9417.0
2455,01/04/2017,Asia,China,20975.0
2456,01/04/2017,Asia,India,5362.0
2461,01/04/2017,Europe,France,4938.0
2479,01/05/2017,Europe,Germany,8742.0
2480,01/05/2017,Europe,Italy,3131.0
2481,01/05/2017,Europe,Russia,3564.0
2482,01/05/2017,Europe,the United Kingdom,7151.0
2483,01/05/2017,Asia,China,23225.0
2484,01/05/2017,Asia,India,8092.0
2489,01/05/2017,Europe,France,2161.0
2507,01/06/2017,Europe,Germany,6885.0
2508,01/06/2017,Europe,Italy,2768.0
2509,01/06/2017,Europe,Russia,3262.0
